Engine Oil Filter,11.98,11.98,Oil Filter -1083817,1,1,500,500,FALSE,TRUE,TRUE
Fuel Filter,17.06,17.06,Fuel Filter - 1086363,1,1,500,500,FALSE,TRUE,TRUE
Fuel/Water Separator,29.82,29.82,Fuel/ Water Sep Filter  - 1083840,1,1,500,500,FALSE,TRUE,TRUE
Air Filter Primary,67.5,67.5,Air Filter Prim - 1083822,1,1,2000,500,FALSE,FALSE,FALSE
Air Filter Secondary,46.22,46.22,Air Filter Seco - 1083823,1,1,2000,500,FALSE,FALSE,FALSE
Transmission Filter,135,135,Trans Filter - 1076712 R\B 1079587,1,1,500,500,FALSE,FALSE,FALSE
Hydraulic Filter: Hi/Pressure,39.76,39.76,Hyd Filter Press - 1078984,1,1,500,500,FALSE,FALSE,FALSE
Hydraulic Filter: Low/Return,67.48,67.48,Hyd Filter Return - 1064129,1,1,500,500,FALSE,FALSE,FALSE
Air Dryer Dessicant,53.62,53.62,Air Dryer Desicca - 1073448,1,1,2000,1000,FALSE,FALSE,FALSE
Cab Filter,0,0,Cab Filter,1,0,1000,0,FALSE,FALSE,FALSE
Separator Element Kit,295,295,Sep Element Kit - 1081645 ,1,1,2000,2000,TRUE,FALSE,FALSE
Spin on Filter,6.98,6.98,Spin on Filter -1081658,1,1,500,500,TRUE,TRUE,TRUE
T-Case Breather,116.1,116.1,T-Case Breather - 1085421,0,1,0,2500,FALSE,FALSE,FALSE
Axle Breather,26.24,26.24,Axle Breather - 1084707,0,1,0,2500,FALSE,FALSE,FALSE
